fecha,pais,departamento,municipio,lugar,localidad,zona,implementacion,coordenadas_n,coordenadas_w,altitud,hora,codigo,transecto,subparcela,cobertura,familia,genero,especie,cap,dap,altura,cob_x,cob_y,cob_total,observaciones
07/09/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Vereda El Bosque,Playa Rica,2011," 04°44´57.3""","75°26´48.0""",3677,14:11,PRT3,3,1,Pastos Limpios,Rosaceae,Hesperomeles,Hesperomeles obtusifolia,3.14,1,80,63,56,3528,
28/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°46´36.6""","75°24´35.2""",4032,11:30,AT1,1,2,Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,3.28,1.32,70,110,97,10670,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´23.7""","75°24´45.9""",3940,13:20,AT4,4,1,Arbustal-Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.454,1.1,72,48,58,2784,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´26.6""","75°25´29.6""",4044,16:14,LMT5,5,1,Frailejonal-Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.454,1.1,37,24,21,504,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´25.5""","75°25´05.0""",4078,12:50,LMT2,2,2,Frailejonal-Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.454,1.1,44,27,22,594,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´26.6""","75°25´29.6""",4044,16:14,LMT5,5,2,Frailejonal-Pajonal,Asteraceae,Pentacalia,Pentacalia vaccinioides,3.454,1.1,80,45,37,1665,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´29.9""","75°25´24.1""",4051,15:20,LMT4,4,1,Frailejonal-Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.454,1.1,40,29,40,1160,
07/10/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´27.7""","75°25´14.7""",4056,15:20,LMT1,1,2,Pajonal,Hyperaceae,Hypericum,Hypericum laricifolium,3.454,1.1,67,48,52,2496,
28/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´33.8""","75°24´39.0""",4029,12:47,AT2,2,1,Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,3.454,1.1,46,94,57,5358,
07/09/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Vereda El Bosque,Playa Rica,2011," 04°44´57.3""","75°26´48.0""",3677,14:11,PRT3,3,1,Pastos Limpios,Loranthaceae,Gaiadendron ,Gaiadendron punctatum,3.454,1.1,40,18,16,288,
07/09/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Vereda El Bosque,Playa Rica,2011," 04°44´47.2""","75°26´46.2""",3649,10:42,PRT1,1,3,Pastos Limpios,Hyperaceae,Hypericum,Hypericum laricifolium,3.454,1.1,79,42,32,1344,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´14.8""","75°24´46.2""",3948,15:50,AT5,5,2,Arbustal-Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.768,1.2,73,63,74,4662,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´25.5""","75°25´05.0""",4078,12:50,LMT2,2,2,Frailejonal-Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.768,1.2,29,20,13,260,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´29.9""","75°25´24.1""",4051,15:20,LMT4,4,1,Frailejonal-Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.768,1.2,64,57,42,2394,
28/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´29.2""","75°24´42.1""",4016,15:15,AT3,3,1,Pajonal,Hyperaceae,Hypericum,Hypericum laricifolium,3.768,1.2,89,60,46,2760,
26/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´38.6""","75°24´18.7""",4060,10:35,PPT1,1,3,Pastos Arbolados,Asteraceae,Baccharis,Baccharis tricuneata,3.768,1.2,34,29,32,928,
07/09/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Vereda El Bosque,Playa Rica,2011," 04°44´57.3""","75°26´48.0""",3677,14:11,PRT3,3,2,Pastos Limpios,Ericaceae,Pernettya,Pernettya prostrata,3.768,1.2,86,48,30,1440,
07/09/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Vereda El Bosque,Playa Rica,2011," 04°44´57.3""","75°26´48.0""",3677,14:11,PRT3,3,1,Pastos Limpios,Rosaceae,Hesperomeles,Hesperomeles obtusifolia,3.768,1.2,46,34,35,1190,
